Name,AssetType,AssetPath,FolderCategory,ConstructionClass,RelationRole,SuggestedSupportType,PivotType,SnapToGround,ScaleLooksMetric,NeedsScaleCheck,PlacementNotes,ChildCount,RendererCount,MeshCount,MaterialCount,MaterialNames,HasCollider,ColliderCount,HasRigidbody,RigidbodyCount,HasAnimator,HasLegacyAnimation,AnimationClipCount,AnimationClipNames,SizeX,SizeY,SizeZ,Labels
"SM_Formwork03","Model","Assets/ConstructionSite/Meshes/Building/SM_Formwork03.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",2.6958,5.9799,5.2424,""
"SM_Formwork04","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Formwork04.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Formwork",True,1,False,0,False,False,0,"",2.0941,5.9613,2.0960,""
"SM_Formwork04","Model","Assets/ConstructionSite/Meshes/Building/SM_Formwork04.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",2.0941,5.9801,2.1085,""
"SM_FormworkReinforcment01","Prefab","Assets/ConstructionSite/Prefab/Building/SM_FormworkReinforcment01.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_ReinforcementBar",True,1,False,0,False,False,0,"",0.5743,4.7679,0.5761,""
"SM_FormworkReinforcment01","Model","Assets/ConstructionSite/Meshes/Building/SM_FormworkReinforcment01.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.5743,4.7679,0.5761,""
"SM_FormworkReinforcment02","Prefab","Assets/ConstructionSite/Prefab/Building/SM_FormworkReinforcment02.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_ReinforcementBar",True,1,False,0,False,False,0,"",0.0493,4.7722,1.9000,""
"SM_FormworkReinforcment02","Model","Assets/ConstructionSite/Meshes/Building/SM_FormworkReinforcment02.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.0493,4.7722,1.9000,""
"SM_FormworkReinforcment03","Prefab","Assets/ConstructionSite/Prefab/Building/SM_FormworkReinforcment03.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_ReinforcementBar",True,1,False,0,False,False,0,"",0.0493,4.7729,3.9163,""
"SM_FormworkReinforcment03","Model","Assets/ConstructionSite/Meshes/Building/SM_FormworkReinforcment03.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.0493,4.7729,3.9163,""
"SM_FormworkReinforcment04","Prefab","Assets/ConstructionSite/Prefab/Building/SM_FormworkReinforcment04.prefab","building","building_element","support_or_anchor","structural_support","centered",False,True,False,"pivot may need placement offset correction",4,4,4,1,"M_ReinforcementBar",True,1,False,0,False,False,0,"",4.0133,0.0743,4.0125,""
